M0,M1,M2,M3,M4,M5,M6,zzM0,zzM1,zzM2,zzM3,zzM4,zzM5,zzM6,driftM0,driftM1,driftM2,driftM3,driftM4,driftM5,driftM6,MassDif_M1,MassDif_M2,MassDif_M3,MassDif_M4,MassDif_M5,MassDif_M6,CumulativeDiff_0,CumulativeDiff_1,CumulativeDiff_2,CumulativeDiff_3,CumulativeDiff_4,CumulativeDiff_5,CumulativeDiff_6,xdrift,mz,rt,cand,class,plant,FN,class_YB,ori_index
10990.313999999997,7343.453,4892.435,3783.963,2777.7870000000007,1762.8729999999996,0.0,0.017531723572895824,0.017378510113761292,0.018543649277813,0.017669244516670554,0.01772031737586587,0.016695412738070414,4.0,-1,-3,-4,-4,-4,-5,100,1.004,1.005,1.0059999999999998,1.0060000000000011,1.005,,-0.001,1.003,2.008,3.014,4.0200000000000005,5.025,,0.0,959.2857996342681,1340.57,rej8,BL,Broc,Y,L,47
8.149886,6.510956,3.146066,3.22387,1.801,0.0,0.0,0.0218773507130404,0.013994351149355776,0.06897033276299809,0.04061611784068082,0.2849358592238991,4.0,4.0,-8,-9,-9,-9,-11,100,100,1.005,1.0060000000000002,1.0059999999999998,1.004,,,-0.008,0.997,2.003,3.009,4.013,,,0.9659813662799585,553.1612824034005,1097.3780517578123,rej9,AL,Alf,N,U,48
9.113647,6.994849,2.53348,2.389161,1.073932,0.0,0.0,0.024299796106626977,0.02007002632232399,0.054911500142517666,0.08672626477210049,0.2280682511919997,4.0,4.0,-10,-10,-8,-11,-7,100,100,1.006,1.008,1.0029999999999997,1.0100000000000011,,,-0.01,0.996,2.004,3.0069999999999997,4.017,,,12.587667774452903,553.1612824034005,1097.3780517578123,rej9,AL,Alf,N,U,49
6.799107000000001,5.444878,3.795246,2.180919,2.322966,0.0,0.0,0.02351689461641227,0.028192924478655606,0.04917085330059665,0.18724541407829984,0.16535490352356302,4.0,4.0,-9,-11,-9,-6,-12,100,100,1.004,1.008,1.009,1.0000000000000004,,,-0.009000000000000001,0.995,2.003,3.012,4.0120000000000005,,,14.379239548738315,553.1612824034005,1097.3780517578123,rej9,AL,Alf,N,U,50
179.32879,58.00223,19.67538,7.977530000000002,,0.0,0.0,0.005367934246215189,0.0264676037431328,0.09048789708231256,0.10831753174150348,0.05963054799014302,4.0,4.0,1,-2,-10,24,-18,100,100,1.003,0.9980000000000002,1.0399999999999996,0.9640000000000004,,,0.001,1.004,2.002,3.042,4.006,,,9.319062184576335,553.1612824034005,1097.3780517578123,rej9,BL,Broc,N,U,51
237.1448011,63.987192500000006,34.4101926,9.8536103,0.9722123,0.0,0.0,0.004577748648112803,0.019802607978223016,0.09209656342936427,0.08923433592947165,0.1225041485785529,4.0,4.0,-1,-4,-11,24,22,100,100,1.003,0.9990000000000001,1.041,1.0040000000000004,,,-0.001,1.002,2.001,3.042,4.046,,,12.841985827744855,553.1612824034005,1097.3780517578123,rej9,BL,Broc,N,U,52
238.538366,70.267216,31.057677,6.376078,4.616011,0.0,0.0,0.00529272820342606,0.01863428078176952,0.057876859389426674,0.1632290442834453,0.096374963869846,4.0,4.0,1,-3,-11,-10,23,100,100,1.0020000000000002,0.9979999999999998,1.0070000000000001,1.0389999999999997,,,0.001,1.003,2.001,3.008,4.047,,,12.716037904945052,553.1612824034005,1097.3780517578123,rej9,BL,Broc,N,U,53
2920.601,1363.2089999999996,9591.741,0.0,0.0,0.0,0.0,0.00685666919511545,0.00575282468620402,0.00830301376289685,4.0,4.0,4.0,4.0,0,-3,2,100,100,100,100,1.003,1.0109999999999997,,,,,0.0,1.003,2.014,,,,,2.3555890982936307,683.4671470902395,1663.6107177734375,rej10,AL,Alf,N,U,54
2811.978,1338.4679999999996,8399.247,0.0,0.0,0.0,0.0,0.0049714825124825964,0.0045753829447098176,0.006589340006249,4.0,4.0,4.0,4.0,-1,-4,1,100,100,100,100,1.003,1.011,,,,,-0.001,1.002,2.013,,,,,3.250482015537525,683.4671470902395,1663.6107177734375,rej10,AL,Alf,N,U,55
2313.841,1163.413,6944.307,0.0,0.0,0.0,0.0,0.008036300948522108,0.006442777267898279,0.008302315683233995,4.0,4.0,4.0,4.0,-1,-3,2,100,100,100,100,1.004,1.0109999999999997,,,,,-0.001,1.003,2.014,,,,,0.0,683.4671470902395,1663.6107177734375,rej10,AL,Alf,N,U,56
7224.347,3317.573,8925.15,0.0,0.0,0.0,0.0,0.00338730210595981,0.003461569302342439,0.0038942935524471306,4.0,4.0,4.0,4.0,-1,-4,1,100,100,100,100,1.003,1.011,,,,,-0.001,1.002,2.013,,,,,2.361362600985522,683.4671470902395,1663.6107177734375,rej10,BL,Broc,N,U,57
7792.151999999999,3619.643,9364.438,0.0,0.0,0.0,0.0,0.004369065796597128,0.0034660606200989674,0.004464297920697303,4.0,4.0,4.0,4.0,-2,-4,0,100,100,100,100,1.004,1.01,,,,,-0.002,1.002,2.012,,,,,1.7609183210283323,683.4671470902395,1663.6107177734375,rej10,BL,Broc,N,U,58
9107.156,4270.987,10110.894,0.0,0.0,0.0,0.0,0.002563811263878001,0.002083177402238696,0.004064496339631866,4.0,4.0,4.0,4.0,-4,-6,-2,100,100,100,100,1.004,1.0100000000000002,,,,,-0.004,1.0,2.01,,,,,1.1835680518387066,683.4671470902395,1663.6107177734375,rej10,BL,Broc,N,U,59
0.4385944000000001,110.9103865,107.6138075,0.0,0.0,0.0,0.0,0.2119887897173352,0.02542317734351704,0.019641923921864368,4.0,4.0,4.0,4.0,-12,-15,-15,100,100,100,100,1.003,1.0060000000000002,,,,,-0.012,0.991,1.997,,,,,3.0945974428563363,642.1019596661135,1131.46826171875,rej11,AL,Alf,N,U,60
0.9595439,138.485477,117.7039773,0.0,0.0,0.0,0.0,0.062149726312892235,0.006169218932926678,0.005327236231820257,4.0,4.0,4.0,4.0,-4,-15,-16,100,100,100,100,0.995,1.005,,,,,-0.004,0.991,1.996,,,,,15.961325132958164,642.1019596661135,1131.46826171875,rej11,AL,Alf,N,U,61
0.547788,109.443101,86.487247,0.0,0.0,0.0,0.0,0.1095717200423336,0.005196751793949213,0.004346761701271656,4.0,4.0,4.0,4.0,-12,-15,-16,100,100,100,100,1.003,1.005,,,,,-0.012,0.991,1.996,,,,,3.7412297443487854,642.1019596661135,1131.46826171875,rej11,AL,Alf,N,U,62
200.24338,61.05904,43.70898,0.0,0.0,0.0,0.0,0.006777415751680314,0.014150756421573159,0.02128722001781237,4.0,4.0,4.0,4.0,2,-1,-12,100,100,100,100,1.003,0.995,,,,,0.002,1.005,2.0,,,,,0.0,642.1019596661135,1131.46826171875,rej11,BL,Broc,N,U,63
193.41305,58.58464,47.52251,0.0,0.0,0.0,0.0,0.005020213010230591,0.018982328220253145,0.02962745556027725,4.0,4.0,4.0,4.0,-2,-5,-17,100,100,100,100,1.003,0.994,,,,,-0.002,1.001,1.995,,,,,0.0,642.1019596661135,1131.46826171875,rej11,BL,Broc,N,U,64
